In The Groove	H	S	7	Let My Love Go Blind	
In The Groove	M	S	6	Let My Love Go Blind	
In The Groove	N	S	1	Let My Love Go Blind	
In The Groove	X	S	9	Let My Love Go Blind	
In The Groove	E	D	4	Mellow	
In The Groove	H	D	8	Mellow	
In The Groove	M	D	6	Mellow	
In The Groove	X	D	9	Mellow	
In The Groove	E	S	3	Mellow	
In The Groove	H	S	8	Mellow	
In The Groove	M	S	5	Mellow	
In The Groove	N	S	1	Mellow	
In The Groove	E	D	3	Mouth	
In The Groove	H	D	8	Mouth	
In The Groove	M	D	6	Mouth	
In The Groove	X	D	9	Mouth	
In The Groove	E	S	3	Mouth	
In The Groove	H	S	8	Mouth	
In The Groove	M	S	4	Mouth	
In The Groove	N	S	1	Mouth	
In The Groove	E	D	2	My Favourite Game	
In The Groove	H	D	7	My Favourite Game	
In The Groove	M	D	5	My Favourite Game	
In The Groove	X	D	9	My Favourite Game	
In The Groove	E	S	3	My Favourite Game	
In The Groove	H	S	6	My Favourite Game	
In The Groove	M	S	5	My Favourite Game	
In The Groove	N	S	1	My Favourite Game	
In The Groove	X	S	10	My Favourite Game	
In The Groove	E	D	4	Mythology	
In The Groove	H	D	9	Mythology	
In The Groove	M	D	8	Mythology	
In The Groove	X	D	10	Mythology	
In The Groove	E	S	3	Mythology	
In The Groove	H	S	9	Mythology	
In The Groove	M	S	7	Mythology	
In The Groove	N	S	1	Mythology	
In The Groove	X	S	11	Mythology	
In The Groove	E	D	5	No 1 Nation	
In The Groove	H	D	9	No 1 Nation	
In The Groove	M	D	7	No 1 Nation	
In The Groove	X	D	10	No 1 Nation	
In The Groove	E	S	4	No 1 Nation	
In The Groove	H	S	8	No 1 Nation	
In The Groove	M	S	7	No 1 Nation	
In The Groove	N	S	1	No 1 Nation	
In The Groove	X	S	9	No 1 Nation	
In The Groove	E	D	1	Normal	
In The Groove	H	D	8	Normal	
In The Groove	M	D	6	Normal	
In The Groove	E	S	3	Normal	
In The Groove	H	S	7	Normal	
In The Groove	M	S	5	Normal	
In The Groove	N	S	1	Normal	
In The Groove	E	D	2	Not Worth The Paper	
In The Groove	H	D	7	Not Worth The Paper	
In The Groove	M	D	5	Not Worth The Paper	
In The Groove	E	S	2	Not Worth The Paper	
In The Groove	H	S	6	Not Worth The Paper	
In The Groove	M	S	4	Not Worth The Paper	
In The Groove	N	S	1	Not Worth The Paper	
In The Groove	E	D	5	Oasis	
In The Groove	H	D	9	Oasis	
In The Groove	M	D	7	Oasis	
In The Groove	X	D	9	Oasis	
In The Groove	E	S	3	Oasis	
In The Groove	H	S	9	Oasis	
In The Groove	M	S	4	Oasis	
In The Groove	N	S	1	Oasis	
In The Groove	X	S	10	Oasis	
In The Groove	E	D	2	On a Day Like Today	
In The Groove	H	D	7	On a Day Like Today	
In The Groove	M	D	5	On a Day Like Today	
In The Groove	X	D	9	On a Day Like Today	
In The Groove	E	S	3	On a Day Like Today	
In The Groove	H	S	7	On a Day Like Today	
In The Groove	M	S	5	On a Day Like Today	
In The Groove	N	S	1	On a Day Like Today	
In The Groove	X	S	9	On a Day Like Today	
In The Groove	E	D	2	PA Theme	
In The Groove	H	D	5	PA Theme	
In The Groove	M	D	3	PA Theme	
In The Groove	E	S	2	PA Theme	
In The Groove	H	S	6	PA Theme	
In The Groove	M	S	4	PA Theme	
In The Groove	N	S	1	PA Theme	
In The Groove	E	D	6	Pandemonium	
In The Groove	H	D	10	Pandemonium	
In The Groove	M	D	9	Pandemonium	
In The Groove	X	D	12	Pandemonium	
In The Groove	E	S	5	Pandemonium	
In The Groove	H	S	11	Pandemonium	
In The Groove	M	S	9	Pandemonium	
In The Groove	N	S	1	Pandemonium	
In The Groove	X	S	13	Pandemonium	
In The Groove	E	D	3	Perfect	
In The Groove	H	D	8	Perfect	
